smiles,wxid,subset,reagent_id
Nc1[nH]nc2ccc(Br)cc12,AF0118,AF,AF0118_AF
Nc1cnnc(Cl)c1,AF0119,AF,AF0119_AF
Nc1cnccn1,AF0120,AF,AF0120_AF
Cc1cccc2sc(N)nc12,AF0121,AF,AF0121_AF
Nc1ccn[nH]1,AF0122,AF,AF0122_AF
Cc1nn(C)cc1N,AF0123,AF,AF0123_AF
Nc1cnc(-c2ccccc2)cn1,AF0124,AF,AF0124_AF
COC(=O)c1cc(N)[nH]n1,AF0125,AF,AF0125_AF
Cc1nn(C)c(N)c1C(N)=O,AF0127,AF,AF0127_AF
COC(=O)c1cccc2nc(N)sc12,AF0130,AF,AF0130_AF
Nc1[nH]ncc1Br,AF0131,AF,AF0131_AF
Cc1nccc(N)n1,AF0132,AF,AF0132_AF
Nc1cnccc1I,AF0133,AF,AF0133_AF
Nc1ccc(Cl)nn1,AF0134,AF,AF0134_AF
Cc1cncc(N)c1,AF0136,AF,AF0136_AF
Nc1cc(Cc2ccccc2)no1,AF0137,AF,AF0137_AF
Nc1ccncn1,AF0139,AF,AF0139_AF
CC(C)(C)c1nnc(N)o1,AF0140,AF,AF0140_AF
Cn1nc(N)c2ccc(Br)cc21,AF0141,AF,AF0141_AF
Nc1ccnc(C(F)(F)F)c1,AF0142,AF,AF0142_AF
Nc1nnc(C(F)(F)F)[nH]1,AF0143,AF,AF0143_AF
Nc1nnc(Br)s1,AF0144,AF,AF0144_AF
Nc1ncncc1Cl,AF0145,AF,AF0145_AF
Nc1cnn(CC(F)(F)F)c1,AF0146,AF,AF0146_AF
Nc1ccc(C(=O)N2CCOCC2)cn1,AF0147,AF,AF0147_AF
Nc1cnc(Br)c(Cl)n1,AF0149,AF,AF0149_AF
CCOC(=O)c1cc(N)[nH]n1,AF0150,AF,AF0150_AF
Nc1cccnn1,AF0151,AF,AF0151_AF
Nc1cc(F)ccn1,AF0152,AF,AF0152_AF
COC(=O)c1ccc(N)cn1,AF0154,AF,AF0154_AF
